,title,without_stopwords,date,source,numPunct,numWords,isCap,class
15,"‚If You Cant Run Your Own House, You Certainly Cant Run the White House‚ť ‚Eagle Rising","‚if cant run house, certainly cant run white house‚ť ‚eagle rising",9/26/2016,Buzzfeed,1,11,False,Fake
16,Why is it ‚RACIST‚ť to Question Someone Birth Certificate? ‚Eagle Rising,‚racist‚ť question someone birth certificate? ‚eagle rising,9/19/2016,Buzzfeed,1,7,False,Fake
17,"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT","homosexual thinks muslims accept him, instantly learns deal lgbt",,Buzzfeed,1,9,False,Fake
18,REVEALED! Minnesota Mall Attacker ID'd As One Of Hillary's Somali Muslim Refugees,revealed! minnesota mall attacker id'd one hillary's somali muslim refugees,,Buzzfeed,3,10,False,Fake
19,NYC Terrorist Ahmad Rahami Sued Police Department for ‚Religious Persecution in 2011! ą  Freedom Daily,nyc terrorist ahmad rahami sued police department ‚religious persecution 2011! ą freedom daily,9/19/2016,Buzzfeed,1,13,False,Fake
20,Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency,fast food ceo threatens fire everyone democrat wins presidency,,Buzzfeed,0,9,False,Fake
21,BREAKING: WikiLeaks Releases Proof Hillary Lied and The FBI Covered It Up,breaking: wikileaks releases proof hillary lied fbi covered,,Buzzfeed,1,8,False,Fake
22,Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,angela merkel admits bringing muslim refugees big fat mistake,8/24/2017,Buzzfeed,0,9,True,Fake
23,"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets! ą  Freedom Daily","disgusting! hillary & obama, ny terrorist get better treatment us vets! ą freedom daily",9/20/2016,Buzzfeed,4,14,False,Fake
24,DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS ą  Freedom Daily,despicable! hillary wants put hero cop stopped mall terror attack business ą freedom daily,9/20/2016,Buzzfeed,1,14,False,Fake
25,UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today! ą  Freedom Daily,unfit! look hillary needed get stairs rally today! ą freedom daily,9/20/2016,Buzzfeed,2,11,False,Fake
26,"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com","hillary disabled children easter egg hunt: ""when going get f*g ree-tards here?"" * 100percentfedup.com",6/20/2016,Buzzfeed,8,14,False,Fake
27,No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops ą  Freedom Daily,way! liberal judge made law black males disgusting thing cops ą freedom daily,9/21/2016,Buzzfeed,1,13,False,Fake
28,Clinton's Exploited Haiti Earthquake ‚to Steal Billions of Dollars from the Sick and Starving ą  Freedom Daily,clinton's exploited haiti earthquake ‚to steal billions dollars sick starving ą freedom daily,9/22/2016,Buzzfeed,1,13,False,Fake
29,BOOM! Merkel Admits Flooding Germany With Muslim Refugees,boom! merkel admits flooding germany muslim refugees,9/21/2016,Buzzfeed,1,7,False,Fake
30,"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has ą  Freedom Daily","sick! muslim refugee beats, urinates pregnant woman seeing ą freedom daily",9/21/2016,Buzzfeed,2,11,False,Fake
31,Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,republicans push bill legalize voter intimidation help trump pennsylvania,9/22/2016,Buzzfeed,0,9,True,Fake
32,Female Muslim-American Olympian Bashes U.S.A. ‚ťGoes Off The Hinges About Why America Sucks! ą  Freedom Daily,female muslim-american olympian bashes u.s.a. ‚ťgoes hinges america sucks! ą freedom daily,8/10/2016,Buzzfeed,5,12,False,Fake
33,Charlotte Thugs Leaves Cop Body With Disgusting Thing They Did... ą  Freedom Daily,charlotte thugs leaves cop body disgusting thing did... ą freedom daily,9/22/2016,Buzzfeed,3,11,False,Fake
34,Obama Told Americans That Their Freedom Is Over And,obama told americans freedom,9/22/2016,Buzzfeed,0,4,True,Fake
35,Tebow DISMANTLES national anthem protests in one sentence...BOOM! ą  Freedom Daily,tebow dismantles national anthem protests one sentence...boom! ą freedom daily,9/22/2016,Buzzfeed,4,10,False,Fake
36,Federal Agents Make Massive Discovery at Southern Border‚ ISIS Is Here ą  Freedom Daily,federal agents make massive discovery southern border‚ isis ą freedom daily,9/22/2016,Buzzfeed,0,11,False,Fake
37,'Reporters' FLEE When Clintons Get EXPOSED!,'reporters' flee clintons get exposed!,9/18/2016,Buzzfeed,3,5,False,Fake
38,Australia Voted To Ban Muslims And Liberals Are Pissed,australia voted ban muslims liberals pissed,9/23/2016,Buzzfeed,0,6,True,Fake
39,"Two White Men Doused With Gasoline, Set On FIRE By Blacks","two white men doused gasoline, set fire blacks",9/23/2016,Buzzfeed,1,8,False,Fake
40,"ALERT: Police Pull Over ‚Islamic Refugee, Horrified To See What Was In The Car","alert: police pull ‚islamic refugee, horrified see car",,Buzzfeed,2,8,False,Fake
41,"The NFL Told Russell Wilson Not To Speak About His Faith, So He Did Something Fans Couldn't Believe ą  Freedom Daily","nfl told russell wilson speak faith, something fans believe ą freedom daily",9/26/2016,Buzzfeed,2,12,False,Fake
42,The Pope Flat Out Called Fox News Type Journalism ‚Terrorism,pope flat called fox news type journalism ‚terrorism,9/23/2016,Buzzfeed,0,8,True,Fake
43,"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is‚","is! winner first debate announced, winner is‚",9/27/2016,Buzzfeed,2,7,False,Fake
44,Hillary Thought She Won The Debate. Didnt Expect This To Happen To Prove Her Wrong.,hillary thought debate. didnt expect happen prove wrong.,9/27/2016,Buzzfeed,2,8,True,Fake
45,Riot Police DID Shoot Unarmed Charlotte Protester In Head,riot police shoot unarmed charlotte protester head,9/22/2016,Buzzfeed,0,7,False,Fake
46,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs","abc reveals trump paid ""hundreds millions"" russian oligarchs",9/23/2016,Buzzfeed,2,8,False,Fake
47,Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police ‚Eagle Rising,bombing suspect filed anti-muslim discrimination lawsuit police ‚eagle rising,9/19/2016,Buzzfeed,1,9,True,Fake
48,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""","new jersey moves impeach chris christie ""bridgegate""",9/23/2016,Buzzfeed,2,7,True,Fake
49,Newsweek Accuses Trump Of Committing A Felony,newsweek accuses trump committing felony,9/23/2016,Buzzfeed,0,5,True,Fake
50,Surgeon General warns: Drinking every time Trump lies during debate could result in acute alcohol poisoning,surgeon general warns: drinking every time trump lies debate could result acute alcohol poisoning,,Buzzfeed,1,14,False,Fake
51,Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won,putin's troll army caught rigging twitter pretend trump,9/27/2016,Buzzfeed,1,8,False,Fake
52,Trump Supreme Court Pick Sued By Feds For Racial Discrimination,trump supreme court pick sued feds racial discrimination,9/28/2016,Buzzfeed,0,8,True,Fake
53,Note In Arabic Found With NYC Bomb‚ Call Says There Will Be More Bombings,note arabic found nyc bomb‚ call says bombings,9/19/2016,Buzzfeed,0,8,False,Fake
54,Donald Trump Goes Off The Deep End‚śMay Be Unfit For Debate ‚ą Opposition Report,donald trump goes deep end‚śmay unfit debate ‚ą opposition report,,Buzzfeed,0,10,False,Fake
55,Secret Video Records MASSIVE Hillary Event Flop!,secret video records massive hillary event flop!,9/19/2016,Buzzfeed,1,7,False,Fake
56,CNN FURIOUS and Embarrassed After Trump Called Them Out For One Major Thing,cnn furious embarrassed trump called one major thing,9/19/2016,Buzzfeed,0,8,False,Fake
57,New York bomb Suspect SUED Police!,new york bomb suspect sued police!,9/19/2016,Buzzfeed,1,6,False,Fake
58,Obama Speech In New York Shocks Americans When He Says THIS About Attacks!,obama speech new york shocks americans says attacks!,9/19/2016,Buzzfeed,1,8,False,Fake
59,Bill And Hillary Clinton Have A MAJOR AIDS Scandal!,bill hillary clinton major aids scandal!,9/20/2016,Buzzfeed,1,6,False,Fake
60,Changing Your Baby's Diaper Is Now A Sex Crime In Arizona,changing baby's diaper sex crime arizona,9/20/2016,Buzzfeed,1,6,False,Fake
61,Michelle Obama NOT Leaving The White House ‚Hillary Clinton Has Terrifying New Role For Her!?!?,michelle obama leaving white house ‚hillary clinton terrifying new role her!?!?,9/20/2016,Buzzfeed,4,11,False,Fake
62,New Clinton Foundation SCANDAL Just Broke ‚This Is What Hillary ACTUALLY Thinks About Black People‚,new clinton foundation scandal broke ‚this hillary actually thinks black people‚,9/21/2016,Buzzfeed,0,11,False,Fake
63,BREAKING: Judge DEMANDS Release Of Clinton Security Training Files ‚She Has 5 Days‚,breaking: judge demands release clinton security training files ‚she 5 days‚,9/21/2016,Buzzfeed,1,11,False,Fake
64,Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,networks confirm fact-checking donald trump way,9/26/2016,Buzzfeed,1,6,True,Fake
65,"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary","decades-old clinton friend comes forward, says knows what's happening hillary",9/21/2016,Buzzfeed,3,10,False,Fake
66,"‚We Dont Adapt To Your Culture, You Adapt To Ours","‚we dont adapt culture, adapt",3/27/2016,Buzzfeed,1,5,True,Fake
67,White Guy Walled In Car By BlackLivesMatter Protesters ‚They See What He Brandishing And Scatter‚,white guy walled car blacklivesmatter protesters ‚they see brandishing scatter‚,9/22/2016,Buzzfeed,0,10,False,Fake
68,The Black Sphere with Kevin Jackson,black sphere kevin jackson,9/19/2016,Buzzfeed,0,4,False,Fake
69,Obama: ‚I bet when I die youll be happy to pee on my grave.‚ť,obama: ‚i bet die youll happy pee grave.‚ť,1/30/2016,Buzzfeed,2,8,False,Fake
70,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There ‚Guess What That Means‚ [VIDEO],surprise! 70% charlotte rioters ‚guess means‚ [video],9/23/2016,Buzzfeed,4,7,False,Fake
71,Hillary's DEAD!?!? Brand New Theory Has Serious PROOF,hillary's dead!?!? brand new theory serious proof,9/22/2016,Buzzfeed,5,7,False,Fake
72,EXPOSED: Soros Funding Fake Veterans PAC To Take Trump Down,exposed: soros funding fake veterans pac take trump,9/26/2016,Buzzfeed,1,8,False,Fake
73,OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas‚ [VIDEO],outrage! obama spends $770m dollars tax payer money renovate mosques seas‚ [video],9/26/2016,Buzzfeed,4,12,False,Fake
74,BOOM! Marines Send TERRORISTS Scathing Message [VIDEO],boom! marines send terrorists scathing message [video],9/26/2016,Buzzfeed,3,7,False,Fake
75,BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement! [VIDEO],boom! charlotte officials finally silence rioters one e p c announcement! [video],9/26/2016,Buzzfeed,4,12,False,Fake
76,BREAKING: Steps to FORCE FBI Director Comey to Resign In Process ‚Hearing Decides His Fate Sept 28,breaking: steps force fbi director comey resign process ‚hearing decides fate sept 28,9/26/2016,Buzzfeed,1,13,False,Fake
77,Hillary TOP Donor Country Just Auctioned Off ISIS Sex Slaves‚,hillary top donor country auctioned isis sex slaves‚,9/26/2016,Buzzfeed,0,8,False,Fake
78,Cavuto Just Exposed Lester Holt's Lies During Debate,cavuto exposed lester holt's lies debate,9/27/2016,Buzzfeed,1,6,False,Fake
79,"The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country","ap, 2004, said boy obama born particular country",9/18/2016,Buzzfeed,2,8,False,Fake
80,People Noticed Something Odd About Hillary's Outfit,people noticed something odd hillary's outfit,9/27/2016,Buzzfeed,1,6,False,Fake
81,People Noticed Something Odd About Hillary Outfit at the Debate Last Night,people noticed something odd hillary outfit debate last night,9/27/2016,Buzzfeed,0,9,False,Fake
82,Another Terrorist Attack in NYC‚Why Are we STILL Being Politically Correct ‚Eagle Rising,another terrorist attack nyc‚why still politically correct ‚eagle rising,9/22/2016,Buzzfeed,0,9,False,Real
83,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests","donald trump: drugs 'very, big factor' charlotte protests",,Buzzfeed,4,8,False,Real
84,"Obama To UN: ‚Giving Up Liberty, Enhances Security In America‚ [VIDEO]","obama un: ‚giving liberty, enhances security america‚ [video]",9/21/2016,Buzzfeed,4,8,False,Real
85,Trump vs. Clinton: A Fundamental Clash over How the Economy Works,trump vs. clinton: fundamental clash economy works,9/27/2016,Buzzfeed,2,7,False,Real
86,"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress","president obama vetoes 9/11 victims bill, setting showdown congress",,Buzzfeed,2,9,True,Real
87,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire ‚No One Helps!? [VIDEO]","chaos! nc protest mob ambushes female truck driver, loots truck, sets cargo fire ‚no one helps!? [video]",9/21/2016,Buzzfeed,7,17,False,Real
88,10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,10 moments mattered hillary clinton donald trump's first debate,,Buzzfeed,1,9,False,Real
89,Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,young girl's emotional council speech laments 'shame' fatal charlotte shooting,,Buzzfeed,3,10,False,Real
90,Jeb Bush to lecture at Harvard this fall,jeb bush lecture harvard fall,,Buzzfeed,0,5,False,Real
91,Clinton vs. Trump: The debate before the debate,clinton vs. trump: debate debate,9/26/2016,Buzzfeed,2,5,False,Real
92,Is Hillary in a No-Win Situation?,hillary no-win situation?,9/26/2016,Buzzfeed,2,3,False,Real
93,Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',hillary clinton police shootings: 'too many people lost lives have',,Buzzfeed,4,10,False,Real
94,Johnson: 'Im going to sleep well at the end of all this',johnson: 'im going sleep well end this',9/25/2016,Buzzfeed,3,7,False,Real
95,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,anthony weiner federal investigation alleged sexting minor,,Buzzfeed,0,7,False,Real
96,Senate Dems Move To Force Trump To Release His Tax Returns,senate dems move force trump release tax returns,9/23/2016,Buzzfeed,0,8,True,Real
97,Dem congressman to IRS: Audit the Trump Foundation,dem congressman irs: audit trump foundation,,Buzzfeed,1,6,False,Real
98,Armed Intruders Break in House‚Armed Resident Responds ‚Eagle Rising,armed intruders break house‚armed resident responds ‚eagle rising,9/24/2016,Buzzfeed,0,8,False,Real
99,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'","post-debate, trump team hits moderator holt 'some hostile questions'",9/27/2016,Buzzfeed,4,9,False,Real
100,One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS‚ [VIDEO],one critically wounded charlotte police endure second night riots‚ [video],9/22/2016,Buzzfeed,2,10,False,Real
101,Rouhani: Iran deal able to weather the election,rouhani: iran deal able weather election,9/21/2016,Buzzfeed,1,6,False,Real
102,‚How Can we LEAD When we Cant Even Control Our Own Cities?‚ť [VIDEO] ‚Eagle Rising,‚how lead cant even control cities?‚ť [video] ‚eagle rising,9/23/2016,Buzzfeed,3,9,False,Real
103,9 times Ted Cruz insulted Donald Trump before endorsing him,9 times ted cruz insulted donald trump endorsing,9/23/2016,Buzzfeed,0,8,False,Real
104,"Critical counties: Wake County, NC, could put up a fight","critical counties: wake county, nc, could put fight",,Buzzfeed,3,8,False,Real
105,"Obama wears hat, breaking ‚Politics 101 rule on headgear","obama wears hat, breaking ‚politics 101 rule headgear",9/26/2016,Buzzfeed,1,8,False,Real
106,Clinton: ‚The next 50 days will determine the next 50 years,clinton: ‚the next 50 days determine next 50 years,9/20/2016,Buzzfeed,1,9,False,Real
107,I Was RFK Speechwriter. Now Im Voting for Trump. Here Why.,rfk speechwriter. im voting trump. why.,9/21/2016,Buzzfeed,3,6,False,Real
108,NC State Troopers Take A Knee Before Protecting Charlotte ‚But It Wasnt To Protest The National Anthem‚,nc state troopers take knee protecting charlotte ‚but wasnt protest national anthem‚,9/23/2016,Buzzfeed,0,12,False,Real
109,Sacramento mayor punches pie thrower,sacramento mayor punches pie thrower,,Buzzfeed,0,5,False,Real
110,Megan Rapinoe Punished Over Not Standing For Anthem?,megan rapinoe punished standing anthem?,,Buzzfeed,1,5,True,Real
111,Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter,liberals furious reality star brody jenner tells truth police shootings twitter,9/26/2016,Buzzfeed,0,11,False,Real
112,Donna Brazile slams Trump for not apologizing for birther claims,donna brazile slams trump apologizing birther claims,9/27/2016,Buzzfeed,0,7,False,Real
113,US builds working theory on cause of Syrian airstrike,us builds working theory cause syrian airstrike,,Buzzfeed,0,7,False,Real
114,Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America (VIDEO),emmy host kimmel calls dude made trump reality tv star helping destroy america (video),9/18/2016,Buzzfeed,2,14,False,Real
115,Trump-Clinton debates will stream on Twitter,trump-clinton debates stream twitter,9/21/2016,Buzzfeed,1,4,False,Real
116,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',joe biden slams donald trump's comment housing crisis 'good business',,Buzzfeed,3,10,False,Real
117,National poll: Clinton leads Trump by 6,national poll: clinton leads trump 6,,Buzzfeed,1,6,False,Real
118,‚Public School Forced My Child To,‚public school forced child,9/19/2016,Buzzfeed,0,4,True,Real
119,How to watch the first presidential debate,watch first presidential debate,,Buzzfeed,0,4,False,Real
120,Topics for first presidential debate announced,topics first presidential debate announced,9/19/2016,Buzzfeed,0,5,False,Real
121,KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,kiss bassist gene simmons stop islamic terrorism,9/24/2016,Buzzfeed,0,7,False,Real
122,"Clinton: Tulsa shooting 'unbearable,' should be 'intolerable'","clinton: tulsa shooting 'unbearable,' 'intolerable'",,Buzzfeed,6,5,False,Real
123,Conway: Trump will explain his Islamic State plan if asked,conway: trump explain islamic state plan asked,9/26/2016,Buzzfeed,1,7,False,Real
124,Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,obama nyc: 'we role play' terror fight suspected bombings,,Buzzfeed,3,9,False,Real
125,Obama: Refugee crisis is test of our humanity,obama: refugee crisis test humanity,,Buzzfeed,1,5,False,Real
126,Trump labels Clinton 'weak and ineffective' in wake of bombings,trump labels clinton 'weak ineffective' wake bombings,,Buzzfeed,2,7,False,Real
127,In Defense of ‚He Said/She Said Journalism,defense ‚he said/she said journalism,9/23/2016,Buzzfeed,1,5,False,Real
128,Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,inmate dead alleged mistreatment jail run infamous pro-trump sheriff,9/20/2016,Buzzfeed,1,9,True,Real
129,Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds (VIDEO),debate commission stuns journalists siding trump: fact checking bounds (video),9/25/2016,Buzzfeed,3,10,False,Real
130,Trump camp: ‚Donald Trump is guilty of answering the question asked,trump camp: ‚donald trump guilty answering question asked,9/27/2016,Buzzfeed,1,8,False,Real
131,France becomes the first country to ban plastic plates and cutlery,france becomes first country ban plastic plates cutlery,9/19/2016,Buzzfeed,0,8,False,Real
132,Paul Ryan ducks on stop-and-frisk,paul ryan ducks stop-and-frisk,,Buzzfeed,2,4,False,Real
133,Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting‚,charlotte police reveal said black man moments shooting‚,9/21/2016,Buzzfeed,0,8,False,Real
134,Kaine visits site of Orlando mass shooting,kaine visits site orlando mass shooting,9/26/2016,Buzzfeed,0,6,False,Real
135,Obama weighs in on the debate,obama weighs debate,9/27/2016,Buzzfeed,0,3,False,Real
136,How Trump Is Hiding From The Media Like A Total Coward,trump hiding media like total coward,9/20/2016,Buzzfeed,0,6,True,Real
137,‚Why Arent I 50 Points Ahead?‚ť ‚Eagle Rising,‚why arent 50 points ahead?‚ť ‚eagle rising,9/22/2016,Buzzfeed,1,7,False,Real
138,Bobby Knight: Nobody can 'correct mistakes' like Trump,bobby knight: nobody 'correct mistakes' like trump,9/21/2016,Buzzfeed,3,7,False,Real
139,BREAKING: Pipe Bombs Found in New Jersey Train Station,breaking: pipe bombs found new jersey train station,9/19/2016,Buzzfeed,1,8,False,Real
140,Hillary Clinton on Between Two Ferns: 'I really regret doing this',hillary clinton two ferns: 'i really regret this',,Buzzfeed,3,8,False,Real
141,Magistrate won't order federal arraignment for bombing suspect,magistrate order federal arraignment bombing suspect,9/21/2016,Buzzfeed,1,6,False,Real
142,US: ISIS did not use mustard agent in base attack,us: isis use mustard agent base attack,,Buzzfeed,1,7,False,Real
143,"Terrorist Attacks Will Likely Affect 2016 Presidential Race, Experts Say","terrorist attacks likely affect 2016 presidential race, experts say",,Buzzfeed,1,9,True,Real
144,Everything you need to know about Trump and Clinton first 2016 presidential debate,everything need know trump clinton first 2016 presidential debate,9/20/2016,Buzzfeed,0,9,False,Real
145,U.S. attorney sees no rush to arraign Rahami in federal court,u.s. attorney sees rush arraign rahami federal court,9/21/2016,Buzzfeed,2,8,False,Real
146,Donald Trump's rise puts Ted Cruz in a bind,donald trump's rise puts ted cruz bind,,Buzzfeed,1,7,False,Real
147,Trump hits Clinton on Islamic State: ‚It is time for change,trump hits clinton islamic state: ‚it time change,9/20/2016,Buzzfeed,1,8,False,Real
148,Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',bridgegate: port authority officials planned make fort lee 'traffic jam bad possible',,Buzzfeed,3,12,False,Real
149,Bono: ‚Trump is potentially the worst idea that ever happened to America,bono: ‚trump potentially worst idea ever happened america,9/20/2016,Buzzfeed,1,8,False,Real
150,2016 presidential race tightens in Florida,2016 presidential race tightens florida,,Buzzfeed,0,5,False,Real
151,HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night Debate,huffpo dropped mic internet polls saying trump crushed hillary last night debate,9/27/2016,Buzzfeed,0,12,False,Real
152,Tim Kaine on Libertarian ticket: 'Everybody knows they're not going to win',tim kaine libertarian ticket: 'everybody knows they're going win',,Buzzfeed,4,9,False,Real
153,Watch Joe Biden Take Trump Own Words And Tear Him To SHREDS After Debate (VIDEO),watch joe biden take trump words tear shreds debate (video),9/27/2016,Buzzfeed,2,10,False,Real
154,U.S. mistakenly granted citizenship to hundreds of immigrants,u.s. mistakenly granted citizenship hundreds immigrants,9/19/2016,Buzzfeed,2,6,False,Real
155,Insiders: The heat is on Hillary,insiders: heat hillary,9/26/2016,Buzzfeed,1,3,False,Real
156,Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed ‚ą Opposition Report,donald trump jr. pinned tweet stupid make eyes bleed ‚ą opposition report,,Buzzfeed,1,12,False,Real
157,More Milestone Moments for Donald Trump! ‚Eagle Rising,milestone moments donald trump! ‚eagle rising,9/19/2016,Buzzfeed,1,6,False,Real
158,Donald Trump retreats to friendly media ground,donald trump retreats friendly media ground,,Buzzfeed,0,6,False,Real
159,Pence gives no specifics on why Trump Foundation story is inaccurate,pence gives specifics trump foundation story inaccurate,9/21/2016,Buzzfeed,0,7,False,Real
160,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,details emerge nyc bomb suspect ahmad khan rahami,,Buzzfeed,0,8,False,Real
161,Trump puzzling pitch to black voters,trump puzzling pitch black voters,9/21/2016,Buzzfeed,0,5,False,Real
162,Joe Arpaio: Trump didnt call Obama birth certificate ‚legitimate,joe arpaio: trump didnt call obama birth certificate ‚legitimate,9/21/2016,Buzzfeed,1,9,False,Real
163,Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',barack obama benjamin netanyahu meeting: 'he always candid us',,Buzzfeed,3,9,False,Real
164,McAuliffe hangs with Willie Nelson -- and his weed,mcauliffe hangs willie nelson -- weed,,Buzzfeed,2,6,False,Real
165,The Mystery of Trump Man in Moscow: Carter Page,mystery trump man moscow: carter page,,,1,6,False,
166,It ‚Trump is HITLER‚ť Month at the Washington Post ‚Eagle Rising,‚trump hitler‚ť month washington post ‚eagle rising,9/22/2016,Buzzfeed,0,7,False,Real
167,Obama team isnt laughing at Trump anymore,obama team isnt laughing trump anymore,9/26/2016,Buzzfeed,0,6,False,Real
168,"Georgia poll: Donald Trump, Hillary Clinton in tight race","georgia poll: donald trump, hillary clinton tight race",,Buzzfeed,2,8,False,Real
169,"Trump Just Insulted Millions Who Lost Everything In Bush's Recession, ""That's Just Business""","trump insulted millions lost everything bush's recession, ""that's business""",9/27/2016,PolitiFact,5,9,False,Real
170,Famous dog killed in spot she waited a year for her owner to return to! [VIDEO],famous dog killed spot waited year owner return to! [video],9/27/2016,PolitiFact,3,10,False,Real
171,House oversight panel votes Clinton IT chief in contempt,house oversight panel votes clinton chief contempt,,PolitiFact,0,7,False,Real
172,"America Just Tragically Lost A Country Music Icon, Please Pray For Jean Shepard Family","america tragically lost country music icon, please pray jean shepard family",9/26/2016,PolitiFact,1,11,True,Real
173,Monuments to the Battle for the New South,monuments battle new south,9/15/2016,PolitiFact,0,4,False,Real
